loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,cred_hist_years,application_type,loan_status
12000,36 months,18.2,435.03,D,D3,4 years,RENT,49700.0,Verified,debt_consolidation,8.84,0,750,754,0,8,0,1000.0,75.4,21,0,0,9.2,Individual,0
35000,36 months,23.66,1366.91,E,E4,3 years,MORTGAGE,22600.0,Verified,debt_consolidation,22.89,0,685,689,0,16,0,1400.0,61.9,29,4,0,8.0,Individual,0
20000,36 months,25.48,800.28,F,F1,10+ years,MORTGAGE,56000.0,Verified,credit_card,27.31,0,690,694,1,8,0,13800.0,82.5,20,4,0,18.8,Individual,1
15000,36 months,23.78,586.76,E,E4,10+ years,RENT,36200.0,Verified,small_business,8.13,0,680,684,0,10,1,2300.0,66.3,20,1,1,3.6,Individual,1
7500,36 months,22.28,287.52,E,E2,< 1 year,MORTGAGE,41800.0,Verified,debt_consolidation,16.1,1,700,704,2,14,0,1200.0,43.7,26,2,0,16.4,Individual,1
7500,36 months,21.88,285.96,E,E2,6 years,MORTGAGE,37000.0,Not Verified,credit_card,21.55,3,720,724,0,9,0,1700.0,61.6,26,3,0,15.5,Individual,0
5000,60 months,22.98,140.89,E,E3,< 1 year,MORTGAGE,104400.0,Source Verified,credit_card,16.34,0,730,734,3,11,0,2900.0,48.5,16,3,0,23.7,Individual,0
25000,60 months,24.74,729.98,E,E5,< 1 year,RENT,58000.0,Source Verified,major_purchase,5.62,1,705,709,3,6,0,2700.0,74.0,21,0,0,13.7,Individual,1
15000,36 months,23.65,585.74,E,E4,10+ years,MORTGAGE,50800.0,Verified,debt_consolidation,12.07,0,675,679,0,7,0,800.0,39.8,21,7,0,21.1,Individual,0
20000,36 months,26.49,811.04,F,F3,6 years,OWN,61500.0,Not Verified,debt_consolidation,27.1,0,665,669,0,10,0,7400.0,58.6,25,0,0,11.3,Individual,1
5000,36 months,27.48,205.42,F,F4,8 years,RENT,44700.0,Source Verified,debt_consolidation,22.23,0,655,659,0,11,0,2300.0,54.4,22,0,0,12.5,Individual,0
35000,60 months,24.4,1015.02,E,E5,3 years,MORTGAGE,33300.0,Source Verified,debt_consolidation,11.86,2,715,719,1,11,0,700.0,42.8,18,3,0,19.1,Individual,0
25000,36 months,15.75,875.84,C,C5,9 years,MORTGAGE,55100.0,Source Verified,debt_consolidation,33.45,0,795,799,0,15,2,7100.0,47.4,25,3,1,16.2,Individual,0
10000,36 months,22.25,383.2,E,E2,4 years,MORTGAGE,29400.0,Not Verified,debt_consolidation,13.24,0,715,719,0,9,0,1400.0,66.0,23,2,0,15.4,Individual,0
10000,36 months,25.87,402.21,F,F2,10+ years,RENT,75100.0,Not Verified,other,21.67,0,670,674,0,13,0,8500.0,56.6,24,0,0,10.9,Individual,0
10000,36 months,28.6,416.88,G,G1,6 years,RENT,75000.0,Not Verified,debt_consolidation,29.4,0,655,659,1,10,0,2900.0,15.8,18,0,0,4.4,Individual,0
10000,36 months,19.89,371.08,D,D5,1 year,MORTGAGE,29800.0,Verified,debt_consolidation,20.47,0,730,734,2,9,1,800.0,24.0,23,3,1,9.7,Individual,1
15000,36 months,26.32,606.92,F,F2,10+ years,MORTGAGE,31300.0,Source Verified,debt_consolidation,15.72,0,655,659,0,7,0,1200.0,27.3,21,7,0,12.6,Individual,0
12000,36 months,22.56,461.77,E,E3,10+ years,MORTGAGE,44800.0,Verified,debt_consolidation,35.47,0,725,729,1,12,0,4500.0,71.9,24,4,0,15.8,Individual,1
10000,36 months,26.18,403.87,F,F2,10+ years,MORTGAGE,138800.0,Verified,debt_consolidation,27.19,0,675,679,2,13,0,25800.0,72.3,27,6,0,15.5,Individual,0
15000,60 months,30.99,494.46,G,G5,5 years,RENT,58100.0,Not Verified,debt_consolidation,20.0,0,650,654,0,14,0,5600.0,50.6,19,0,0,16.1,Individual,1
7500,36 months,25.04,298.36,F,F1,1 year,MORTGAGE,77300.0,Not Verified,debt_consolidation,23.14,0,695,699,2,14,0,14400.0,112.5,27,2,0,14.7,Individual,1
10000,36 months,28.21,414.77,F,F5,10+ years,OWN,18000.0,Verified,debt_consolidation,18.68,0,645,649,0,10,0,900.0,51.3,19,0,0,30.0,Individual,1
12000,60 months,28.67,378.5,G,G1,6 years,OWN,36300.0,Verified,home_improvement,36.49,0,710,714,0,11,0,2700.0,21.8,22,1,0,10.4,Individual,0
12000,36 months,20.54,449.27,E,E1,4 years,MORTGAGE,68000.0,Verified,debt_consolidation,17.17,1,730,734,1,17,0,1900.0,16.6,23,2,0,10.4,Individual,0
25000,36 months,19.47,922.35,D,D4,4 years,MORTGAGE,123300.0,Verified,credit_card,9.76,0,715,719,1,13,1,2600.0,19.9,25,6,1,15.1,Individual,0
10000,36 months,20.47,374.03,D,D5,< 1 year,MORTGAGE,127000.0,Not Verified,home_improvement,25.79,0,735,739,2,14,0,7200.0,19.3,21,4,0,10.3,Individual,0
15000,60 months,28.64,472.85,G,G1,10+ years,MORTGAGE,74100.0,Source Verified,debt_consolidation,15.81,0,680,684,0,10,0,6400.0,48.5,20,1,0,13.1,Individual,0
15000,36 months,23.35,583.39,E,E4,10+ years,MORTGAGE,140000.0,Verified,credit_card,21.07,0,695,699,0,9,0,17400.0,103.2,22,3,0,21.5,Individual,0
5000,36 months,21.28,189.09,E,E1,10+ years,MORTGAGE,175800.0,Source Verified,debt_consolidation,14.54,0,710,714,2,11,0,9400.0,52.3,26,1,0,23.8,Individual,0
15000,36 months,29.2,630.22,G,G2,10+ years,RENT,56400.0,Verified,credit_card,20.37,0,630,634,0,12,0,2400.0,34.6,29,0,0,14.8,Individual,1
7500,36 months,20.3,279.87,D,D5,10+ years,RENT,90400.0,Source Verified,debt_consolidation,14.69,1,715,719,2,8,0,6900.0,49.0,21,0,0,15.0,Individual,0
5000,60 months,22.86,140.55,E,E3,8 years,RENT,28800.0,Not Verified,debt_consolidation,10.76,0,735,739,1,10,0,2300.0,80.5,23,0,0,14.1,Individual,0
30000,60 months,23.82,859.91,E,E4,2 years,RENT,139900.0,Source Verified,credit_card,9.42,0,720,724,0,15,0,5600.0,64.1,25,0,0,8.7,Individual,0
35000,60 months,22.19,970.45,E,E2,10+ years,RENT,97500.0,Source Verified,small_business,21.72,0,745,749,3,16,0,17300.0,73.6,25,0,0,16.3,Individual,1
25000,36 months,18.85,914.51,D,D4,2 years,MORTGAGE,88700.0,Verified,debt_consolidation,11.51,1,725,729,0,11,1,900.0,25.8,21,3,1,8.0,Individual,0
10000,36 months,21.69,380.3,E,E2,6 years,MORTGAGE,59900.0,Verified,debt_consolidation,21.44,0,720,724,0,15,0,2000.0,42.1,26,5,0,16.8,Individual,0
7500,60 months,30.26,243.85,G,G4,2 years,OWN,107300.0,Verified,credit_card,24.37,0,665,669,1,15,1,10600.0,65.3,22,0,1,6.3,Individual,1
20000,60 months,30.99,659.28,G,G5,10+ years,MORTGAGE,103700.0,Verified,home_improvement,25.49,0,600,604,1,14,0,17300.0,90.8,29,5,0,12.3,Individual,1
12000,36 months,23.48,467.52,E,E4,10+ years,MORTGAGE,36000.0,Verified,small_business,12.51,0,685,689,0,12,0,700.0,31.5,28,1,0,19.1,Individual,0
7500,36 months,12.96,252.56,C,C2,10+ years,OWN,67100.0,Source Verified,debt_consolidation,12.48,0,800,804,0,13,0,1400.0,31.5,22,0,0,22.4,Individual,0
15000,36 months,25.1,597.19,F,F1,10+ years,RENT,75300.0,Verified,small_business,22.06,0,675,679,1,13,1,5600.0,51.8,31,0,1,9.2,Individual,0
5000,60 months,21.79,137.5,E,E2,10+ years,RENT,50600.0,Not Verified,debt_consolidation,6.26,0,735,739,0,9,0,700.0,45.2,22,1,0,11.0,Individual,0
30000,60 months,25.46,888.65,F,F1,5 years,MORTGAGE,118700.0,Source Verified,debt_consolidation,26.15,0,725,729,0,16,0,19300.0,65.4,32,3,0,13.4,Individual,1
10000,36 months,23.2,388.14,E,E3,10+ years,MORTGAGE,175700.0,Verified,debt_consolidation,9.63,0,685,689,1,14,0,1000.0,16.5,27,2,0,29.6,Individual,0
20000,36 months,21.25,756.07,E,E1,6 years,RENT,116400.0,Source Verified,debt_consolidation,23.37,1,730,734,1,11,1,11200.0,48.2,25,0,0,12.8,Individual,0
10000,36 months,17.07,356.88,D,D2,1 year,RENT,36000.0,Source Verified,debt_consolidation,24.34,0,780,784,2,14,0,800.0,24.0,22,1,0,16.3,Individual,0
15000,36 months,24.04,588.81,E,E4,6 years,RENT,61300.0,Verified,debt_consolidation,19.97,0,690,694,0,12,0,1500.0,34.0,27,0,0,16.7,Individual,0
15000,36 months,24.06,588.97,E,E4,7 years,MORTGAGE,44800.0,Verified,debt_consolidation,25.4,4,685,689,2,9,0,2100.0,53.8,23,3,0,16.6,Individual,1
10000,36 months,26.82,407.29,F,F3,3 years,MORTGAGE,48300.0,Verified,debt_consolidation,13.54,0,650,654,2,8,0,500.0,12.1,20,2,0,29.0,Individual,0
35000,36 months,17.11,1249.76,D,D2,2 years,MORTGAGE,47300.0,Verified,debt_consolidation,19.84,0,760,764,0,15,0,1800.0,36.1,19,6,0,20.1,Individual,0
20000,36 months,23.46,779.0,E,E4,2 years,MORTGAGE,109900.0,Not Verified,debt_consolidation,19.91,0,695,699,2,18,0,13200.0,53.7,29,4,0,5.3,Individual,0
30000,36 months,19.82,1112.16,D,D5,3 years,MORTGAGE,35600.0,Verified,debt_consolidation,8.89,0,725,729,1,7,1,1400.0,67.8,20,3,1,30.0,Individual,0
30000,60 months,24.09,864.61,E,E4,10+ years,OWN,40500.0,Verified,debt_consolidation,14.06,0,725,729,1,18,1,1300.0,59.3,33,0,1,3.0,Individual,1
15000,36 months,24.5,592.44,E,E5,10+ years,RENT,66400.0,Verified,debt_consolidation,23.27,0,685,689,2,11,0,900.0,7.1,22,0,0,21.1,Individual,0
30000,60 months,24.6,873.52,E,E5,8 years,RENT,169200.0,Not Verified,other,19.18,0,720,724,0,10,0,18700.0,100.8,17,0,0,12.8,Individual,0
7500,36 months,26.14,302.74,F,F2,< 1 year,MORTGAGE,134200.0,Verified,credit_card,16.69,0,665,669,3,19,0,4300.0,59.7,31,4,0,14.0,Individual,0
10000,36 months,26.37,404.88,F,F2,8 years,RENT,80000.0,Not Verified,debt_consolidation,23.5,0,660,664,2,8,0,9700.0,48.6,16,0,0,26.4,Individual,0
5000,36 months,20.96,188.27,E,E1,10+ years,RENT,37400.0,Not Verified,debt_consolidation,23.29,0,735,739,2,14,0,1300.0,25.8,27,0,0,12.7,Individual,0
10000,36 months,21.0,376.75,E,E1,10+ years,RENT,75700.0,Verified,debt_consolidation,19.94,0,730,734,1,5,2,8100.0,54.9,18,0,2,15.8,Individual,0
12000,60 months,30.99,395.57,G,G5,10+ years,RENT,105600.0,Verified,debt_consolidation,31.6,0,600,604,0,9,0,31800.0,84.9,25,0,0,24.8,Individual,1
10000,36 months,26.28,404.4,F,F2,2 years,MORTGAGE,125200.0,Source Verified,debt_consolidation,32.08,0,680,684,0,12,1,7200.0,50.6,26,3,1,23.9,Individual,1
25000,36 months,22.99,967.61,E,E3,5 years,OWN,128500.0,Verified,debt_consolidation,19.21,0,695,699,0,16,2,5400.0,37.6,32,0,2,15.2,Individual,0
12000,36 months,20.65,449.95,E,E1,10+ years,MORTGAGE,133500.0,Not Verified,debt_consolidation,36.19,0,750,754,1,15,1,5700.0,18.8,33,4,1,16.3,Individual,0
10000,60 months,26.58,302.85,F,F3,10+ years,MORTGAGE,97800.0,Not Verified,credit_card,16.58,0,705,709,0,10,0,7500.0,61.9,32,3,0,13.8,Individual,0
15000,36 months,20.93,564.59,E,E1,10+ years,MORTGAGE,78900.0,Source Verified,debt_consolidation,32.33,0,755,759,0,13,0,3200.0,33.1,26,2,0,21.6,Individual,0
7500,36 months,22.82,289.62,E,E3,9 years,RENT,86800.0,Source Verified,debt_consolidation,6.48,2,675,679,0,6,0,2600.0,70.6,16,0,0,19.1,Individual,0
25000,36 months,18.53,910.47,D,D3,3 years,RENT,139500.0,Not Verified,debt_consolidation,2.28,1,715,719,1,10,0,1600.0,45.7,21,0,0,12.0,Individual,0
5000,60 months,21.17,135.75,E,E1,< 1 year,OWN,87500.0,Not Verified,credit_card,17.45,0,765,769,0,16,0,5300.0,48.2,29,1,0,3.0,Individual,0
35000,36 months,14.2,1199.62,C,C3,10+ years,MORTGAGE,40100.0,Not Verified,debt_consolidation,17.06,0,800,804,2,10,0,3800.0,50.7,18,4,0,10.7,Individual,0
20000,36 months,28.58,833.55,G,G1,1 year,MORTGAGE,93600.0,Not Verified,debt_consolidation,13.53,0,630,634,0,19,0,7600.0,65.7,28,4,0,19.7,Individual,1
10000,60 months,27.78,310.03,F,F4,8 years,RENT,32200.0,Not Verified,debt_consolidation,8.15,0,670,674,0,10,0,2500.0,88.9,17,0,0,19.3,Individual,1
5000,36 months,22.71,192.79,E,E3,10+ years,RENT,60900.0,Source Verified,debt_consolidation,20.88,0,705,709,1,13,0,8700.0,87.1,21,0,0,16.8,Individual,0
25000,36 months,20.13,930.75,D,D5,10+ years,RENT,32300.0,Verified,small_business,26.35,0,740,744,0,15,0,8300.0,84.6,23,0,0,11.6,Individual,0
20000,36 months,23.62,780.67,E,E4,< 1 year,MORTGAGE,111800.0,Source Verified,debt_consolidation,28.36,0,715,719,2,13,0,9900.0,31.9,27,2,0,16.2,Individual,0
